seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Georgie,Allison,34,Netub Junction,Awkafwa,MO,11779,$7913.42,GREEN,03/01/2020
2,Danny,Jenkins,24,Ekdat Glen,Zofacpu,VT,78688,$3216.89,BLUE,11/21/1952
3,Jim,Harrison,48,Deata Glen,Hupupa,ME,31864,$8748.61,YELLOW,10/04/1954
4,Nina,Edwards,59,Zawu Path,Juiwdet,CA,87532,$7693.04,RED,10/17/1948
5,Susan,Swanson,32,Asidob Place,Wosuuke,DE,10677,$9296.06,WHITE,10/07/2052
6,Georgie,Rivera,58,Vuste Mill,Ojigelko,SD,46875,$3982.80,YELLOW,06/01/1932
7,Gertrude,Flores,25,Amubur Manor,Tucurhib,GA,41666,$8129.88,BLUE,09/10/2057
8,Joe,Beck,49,Bapcah Court,Amguole,OR,14888,$3100.48,RED,04/16/2048
9,Angel,Becker,46,Vula Pass,Ubiivipo,IN,24717,$7157.97,BLUE,08/21/1931
10,Etta,Kelly,31,Awva Trail,Zaklufel,MT,90483,$5031.13,YELLOW,03/12/1922
11,Adelaide,Jones,47,Vucvul Place,Ruftavma,OH,27385,$5107.75,YELLOW,02/24/2020
12,Etta,Stevenson,61,Zade Heights,Tibbawoto,ND,70258,$4295.39,RED,09/02/1942
13,Willie,Bryan,31,Hehe Junction,Coarzot,DC,10358,$7726.74,GREEN,10/31/1973
14,Lawrence,Stevenson,47,Hahu Junction,Muvcivza,NE,85475,$4890.55,RED,12/19/2005
15,Alan,Massey,37,Semsi View,Haijasah,NY,67159,$5257.97,RED,04/19/1944
16,Owen,Maldonado,58,Kaub Square,Lofjiak,OR,93955,$7701.08,RED,12/07/1915
17,Hunter,Zimmerman,46,Jewo Turnpike,Zadifazif,NC,78045,$4188.53,YELLOW,12/31/2048
18,Mayme,Gordon,60,Atikoj Court,Uvesascav,DC,05475,$8977.64,YELLOW,08/20/2012
19,Dominic,Cross,64,Awocag Glen,Idofigo,VA,62746,$5472.93,BLUE,11/14/1964
20,Jay,Hernandez,35,Fevmem Drive,Vuibana,IA,40057,$4041.42,YELLOW,03/22/2039
21,Randall,Hines,39,Tiitu Glen,Kasocda,WI,17385,$8928.64,WHITE,09/26/1980
22,Garrett,Wagner,19,Pinbok Drive,Togmiroh,MN,57603,$1571.82,WHITE,08/26/1910
23,Norman,Walters,21,Mifi Pass,Widmoriw,AR,18382,$1506.06,BLUE,08/17/2018
24,Matthew,McBride,23,Wiiza Manor,Eviofefo,MA,08304,$8191.17,BLUE,09/20/2034
25,May,Mendez,46,Ziog Court,Ifisirnah,OH,13755,$7140.58,GREEN,05/16/1999
26,Lena,George,48,Vewgu River,Tiddale,SC,27269,$1464.04,GREEN,08/09/1922
27,Ian,Willis,33,Tinfin Drive,Nalucwe,UT,11646,$6683.82,RED,01/02/1916
28,Jesus,Lopez,60,Joaru Ridge,Wuzucved,AK,81828,$5961.62,GREEN,01/17/2018
29,Polly,Johnson,45,Firni Extension,Hifodedoz,MI,69704,$2348.14,WHITE,09/12/1994
30,Duane,Morton,21,Muwo Heights,Firekah,SD,57314,$9493.85,YELLOW,04/19/1919
31,Nell,Bell,58,Enibep Extension,Tafoemi,WA,03340,$4154.81,YELLOW,06/01/2070
32,Troy,Dawson,48,Dozdoj Road,Puvotut,MA,27138,$4474.95,WHITE,08/01/2056
33,Lilly,Buchanan,63,Ugosi Ridge,Udohirce,NJ,10363,$9180.08,RED,09/13/2060
34,Thomas,Weber,60,Ukulo Avenue,Fefpida,RI,03040,$8681.98,BLUE,09/28/2019
35,Lena,Schmidt,46,Loton Highway,Uphelvov,MO,91108,$7565.43,BLUE,03/19/1916
36,Dora,Santos,63,Rovar Trail,Sujdolzol,MS,97267,$1692.64,YELLOW,08/16/1938
37,Alejandro,Paul,62,Witwo River,Nomowejog,IA,04060,$9483.80,GREEN,07/29/2027
38,Devin,Peterson,61,Mehof Square,Rotlate,OR,16620,$9517.83,GREEN,10/22/1929
39,Bradley,Snyder,61,Tovto Manor,Udajidvag,IA,79890,$5547.28,RED,03/09/1982
40,Sophia,Harmon,49,Hegew Manor,Egubafwig,NJ,43358,$1414.99,BLUE,10/30/2007
41,Olga,Parks,43,Towwob Court,Hevake,NV,41128,$8270.29,GREEN,09/18/2033
42,Alexander,Shelton,20,Utejus Grove,Iwamahkar,MT,07290,$1832.74,WHITE,02/28/1941
43,Vincent,Cobb,38,Ucdo Circle,Pudgajzo,ND,55745,$4868.81,WHITE,03/10/1909
44,Joseph,Phelps,59,Uppa Key,Omcetso,ID,21134,$8505.88,YELLOW,09/01/1932
45,Alvin,Evans,40,Zighap Junction,Kiciba,VT,70293,$9684.46,RED,06/29/1941
46,Leah,Armstrong,31,Puwmen Loop,Kedtijnew,OR,69246,$343.16,YELLOW,05/18/2002
47,Francisco,Nelson,52,Debur Loop,Poktigalu,MT,65380,$4940.16,WHITE,04/26/2039
48,Maude,Valdez,20,Bomuw Parkway,Giucuago,MT,52391,$1674.34,BLUE,12/11/1921
49,Seth,Wheeler,48,Tetuh Place,Pepikewa,AK,68079,$4445.04,BLUE,02/03/2064
50,Blanche,Stone,49,Sudhe Road,Utebaszu,NE,93928,$1610.93,WHITE,12/20/1928
51,Lily,Leonard,25,Lejiwo Trail,Jaodpad,UT,92798,$8552.44,YELLOW,01/17/2018
52,Celia,Sanders,58,Kilo Road,Ihfesosu,HI,84401,$9092.11,BLUE,08/05/1958
53,Marguerite,Stone,29,Hacof Extension,Idliname,FL,28571,$9211.81,GREEN,10/23/2008
54,Helen,Brewer,29,Fena Center,Paalwo,CA,34144,$8025.04,GREEN,03/18/1936
55,Josephine,Quinn,54,Tehut Way,Wufsurom,AZ,46734,$5399.93,BLUE,02/25/2018
56,Marie,Anderson,26,Pubpu Boulevard,Apifebes,AK,69979,$4428.62,GREEN,01/26/2002
57,Devin,Crawford,44,Bepma Circle,Epopudsog,NE,87748,$5511.88,BLUE,02/04/2006
58,Eddie,Rodriquez,34,Hufag Terrace,Nufwiuc,IA,52022,$2945.92,GREEN,06/09/1985
59,Elmer,Butler,64,Pukgas Terrace,Fetehhe,DC,00857,$6653.62,BLUE,10/14/1945
60,Hattie,Ramos,29,Hapfa Pike,Koziffi,NV,90535,$2414.32,BLUE,07/28/1960
61,Danny,Sharp,61,Baka Ridge,Funoefi,KY,62504,$7161.80,GREEN,06/21/1922
62,Francis,Stevens,37,Etsu Parkway,Nagabmob,DC,35320,$6968.53,BLUE,01/18/2058
63,Leonard,Sherman,47,Modsiz Junction,Luzumfim,GA,29006,$2529.28,RED,07/25/1975
64,Millie,Martin,20,Kugov Drive,Lazeti,MS,76437,$5264.16,WHITE,06/26/1992
65,Hettie,King,57,Magja Road,Ojailcig,OK,06721,$5502.82,BLUE,02/25/2038
66,Isabel,Mathis,18,Pumjuz Key,Lohjopov,MO,00792,$4054.28,WHITE,01/22/1940
67,Roy,Campbell,54,Kuos Ridge,Jemubup,TN,25894,$6195.03,RED,02/18/1943
68,Ophelia,Chandler,27,Turuf Parkway,Zusansul,AZ,77763,$8308.60,BLUE,03/13/1965
69,Isaac,Walters,59,Mogem Street,Tusinsa,NJ,23877,$2949.71,YELLOW,10/16/2069
70,Jimmy,Tate,36,Gawre Path,Ogiimogo,DC,32268,$248.88,BLUE,09/25/2034
71,Annie,Turner,33,Ripan View,Wehureb,MI,82837,$4872.82,RED,02/16/1943
72,Mittie,Barber,44,Wagoho Glen,Hozjodace,DC,28169,$6045.32,YELLOW,07/30/2063
73,Keith,Rodriquez,30,Wurfi Key,Volurot,UT,31204,$3973.77,YELLOW,11/16/1973
74,Sylvia,Patton,64,Owte Court,Gogmizged,MI,04655,$3943.24,RED,01/25/2009
75,Violet,Richards,64,Nupo Drive,Zozciiru,IL,24150,$819.02,BLUE,07/07/2043
76,Jon,Carpenter,53,Monra Manor,Zowufiepu,MO,08763,$9637.46,BLUE,11/28/1970
77,Kathryn,Horton,19,Raco Turnpike,Seitug,AK,78587,$7243.02,GREEN,07/11/1957
78,Jeff,Ingram,34,Osne Mill,Woredige,ID,74290,$455.98,GREEN,09/25/1992
79,Ronnie,Nichols,61,Georu River,Dinuam,MN,79851,$1176.51,YELLOW,04/28/2022
80,Ann,Rhodes,39,Vuruk Key,Neroete,SD,97726,$7395.11,WHITE,07/11/1950
81,Minerva,Warren,22,Miape Extension,Jusubnaz,MD,57029,$9105.78,GREEN,04/01/2047
82,Rosa,Newton,36,Kohjor Square,Huborooca,MO,82483,$2170.33,WHITE,04/12/2035
83,Josie,Berry,44,Huvej Manor,Pekzemtoz,NC,23911,$7364.31,YELLOW,08/24/1907
84,Allen,Brooks,63,Jaze Place,Hamurko,ME,89319,$8548.35,WHITE,11/20/2057
85,Henrietta,Gomez,22,Peiga Pass,Vamodhim,IN,56165,$2809.30,YELLOW,03/27/1970
86,Lilly,Reeves,62,Kigda Place,Amuzasrip,AZ,31309,$9487.34,GREEN,12/10/1906
87,Katharine,Mitchell,33,Jehid Heights,Pobmuiro,NC,24104,$6014.15,WHITE,12/10/1982
88,Susan,Morton,22,Furci Path,Kukolu,KS,21724,$3114.75,BLUE,09/23/2047
89,Lee,McCoy,40,Rashi Trail,Nawfunfe,GA,95470,$7721.79,WHITE,06/22/2057
90,Brett,Castillo,64,Redef Park,Kanmioce,OK,67988,$5693.83,WHITE,09/19/1955
91,Martin,Garza,25,Dotro Road,Jafpartu,IA,10044,$5555.90,WHITE,07/08/1947
92,Larry,Holt,54,Tuser Court,Ucgenwip,NE,43974,$3757.65,BLUE,11/22/2013
93,Mae,Hicks,42,Lobi Path,Perigi,IL,05583,$6243.59,BLUE,05/10/2024
94,Marian,Curtis,25,Lufni Junction,Tonazte,LA,88847,$571.55,GREEN,10/03/1990
95,Clyde,Rogers,43,Umfe Drive,Cuwgiviz,MI,08044,$254.96,RED,04/01/2068
96,Jeff,Ward,61,Wuplof Plaza,Cuwusow,VT,62344,$1079.56,RED,08/15/1925
97,Estelle,Vargas,63,Wamhik Terrace,Zagfijor,SD,51485,$8995.39,WHITE,07/15/1948
98,Derrick,Wolfe,61,Midsu Avenue,Aboibibe,GA,67384,$4472.03,BLUE,08/08/1988
99,Christian,Brock,43,Ehojup Place,Ditoeh,AR,78638,$358.12,RED,11/23/1954
100,Kenneth,Huff,45,Zozuli Square,Ebamestaw,NJ,47892,$787.35,RED,01/01/1900
